number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
74,385.59059401201495,2026-05-04 19:49:44.156675,2026-05-04 19:50:15.720020,0 days 00:00:31.563345,16.090778884551238,69.5620594963026,1134.1217157583767,313.32518621836726,0.20444094536913818,0.050494482033580534,1.0759759873925423,COMPLETE
75,418.04575396584994,2026-05-04 19:50:15.720742,2026-05-04 19:50:45.555069,0 days 00:00:29.834327,11.89487947935781,79.52576029529399,1008.2057991909904,305.96653277708094,0.35464818459462033,0.06135320355886274,1.0405211189473402,COMPLETE
76,323.146471882748,2026-05-04 19:50:45.555823,2026-05-04 19:51:16.838269,0 days 00:00:31.282446,13.812580857123823,79.64410155204165,1045.2069628787042,291.91932734011147,0.28597846140223027,0.07847532437232041,0.7838507971105176,COMPLETE
77,382.30923595719094,2026-05-04 19:51:16.839535,2026-05-04 19:51:47.815270,0 days 00:00:30.975735,12.21183629363858,56.697153527783975,1097.4904563918697,355.7645291073485,0.23645680674808248,0.07683381637315408,0.7746335358375913,COMPLETE
78,334.61951217338355,2026-05-04 19:51:47.816609,2026-05-04 19:52:16.769228,0 days 00:00:28.952619,9.579284234486408,82.01490300657434,1054.6850964685887,400.5470313454833,0.30830100919901493,0.08486045685448798,0.803808812389132,COMPLETE
79,1000000000.0,2026-05-04 19:52:16.770393,2026-05-04 19:53:04.275884,0 days 00:00:47.505491,15.065088553409868,77.57104797308166,1176.2184453963428,314.74226497605514,0.3100799005074172,0.05583538794320976,0.5447219405547848,COMPLETE
80,378.70050478995574,2026-05-04 19:53:04.276861,2026-05-04 19:53:32.209929,0 days 00:00:27.933068,10.064551611856498,81.03232548595876,1083.7886935886147,228.45777881384194,0.294404818646189,0.08674825560485565,0.7481234996137063,COMPLETE
81,379.64073801760156,2026-05-04 19:53:32.211056,2026-05-04 19:54:00.435948,0 days 00:00:28.224892,5.507556888169775,70.71997827414711,2927.9832655014566,245.39745699759078,0.26124102165231855,0.08657249655571678,1.0941358431383204,COMPLETE
82,1000000000.0,2026-05-04 19:54:00.436823,2026-05-04 19:54:46.484401,0 days 00:00:46.047578,11.401727946032583,60.51120237858324,1063.3616995020118,172.66224125688058,0.25069748685875826,0.06470170941234388,1.159494109178002,COMPLETE
83,1000000000.0,2026-05-04 19:54:46.486005,2026-05-04 19:55:33.846021,0 days 00:00:47.360016,12.715000634137173,84.31093176917672,1135.5650977032656,306.51050185347043,0.21479972000653957,0.08990699608069892,0.9932591512788017,COMPLETE
