trial,cost,best_cost_so_far,improvement,relative_improvement,is_best,safety_fail,fail_reason,fail_rate_so_far,J_approach,J_near,J_tracking,J_orientation,rmse,ramp_lag,overshoot,arrival_jitter,rise_time,settling_time,final_error,max_feedback_vel,max_joint_vel_ratio,vel_violation,orientation_rmse,orientation_max_error,exploration_distance,trial_duration_sec
56,1556905.9962119022,1183013.5647806285,0.0,0.0,False,False,,0.08771929824561403,4.576205280649473,1.6906254125898565,0.1754856539692887,1.639337957380979e-14,0.005546827368041986,0.00478713619305367,0.005566028992883679,9.439913989535133e-11,2.2809219360351562,0.7061619758605957,2.2448962449063037e-09,0.3512977217451199,0.0,0.0,9.389494221010674e-16,2.220446049250313e-15,0.6132209028969845,13.473917245864868
57,1784385.783732455,1183013.5647806285,0.0,0.0,False,False,,0.08620689655172414,4.569609506380237,2.6385149611634957,0.17979869390109288,5.628291389747904e-15,0.005390910759190893,0.004260017955196088,0.007839699528292929,1.5927695251618698e-07,2.278414726257324,1.1232616901397705,1.320893861689103e-06,0.6333941203583525,0.0,0.0,3.895179319817329e-16,6.280369834735101e-16,0.7842033482596898,13.350243091583252
58,1000000000.0,1183013.5647806285,0.0,0.0,False,True,Velocity safety exceeded,0.1016949152542373,,,,,,,,,,,,,,,,,0.7395198319626646,5.1364922523498535
59,1730261.4868389934,1183013.5647806285,0.0,0.0,False,False,,0.1,4.565650524350922,1.8749749330896381,0.23799411504211748,3.2278679920950975e-14,0.008271961982875912,0.005278766702585971,0.0072986528532571066,1.5742687685395703e-09,2.274907112121582,0.7550210952758789,1.9975004998835234e-08,0.5615651190739612,0.0,0.0,2.0864014894891687e-15,3.8968670012594065e-15,0.7879545794015005,16.259117603302002
60,1451175.4086979898,1183013.5647806285,0.0,0.0,False,False,,0.09836065573770492,4.5844769231093325,1.7420449250765015,0.19202140288187794,2.296292965114384e-14,0.006221436469706514,0.005179873824530154,0.004509229596025746,1.63917943118934e-11,2.284468650817871,0.7582917213439941,5.17445187307764e-10,0.3778366202412447,0.0,0.0,1.3690352504718798e-15,3.0026619118422003e-15,0.9541531674535826,13.152769088745117
61,1488770.778764975,1183013.5647806285,0.0,0.0,False,False,,0.0967741935483871,4.615188070793915,1.4959187708615724,0.22035937158380559,1.6014493851593e-14,0.006356120106381286,0.005988421923573611,0.004884977670446863,3.304584038383458e-11,2.2986114025115967,0.6258349418640137,7.222403813223193e-10,0.33843908118701943,0.0,0.0,9.25174363620501e-16,2.153274735657248e-15,1.0113706054527898,16.257606029510498
62,1000000000.0,1183013.5647806285,0.0,0.0,False,True,Velocity safety exceeded,0.1111111111111111,,,,,,,,,,,,,,,,,1.0035120870824108,4.822414875030518
63,1000000000.0,1183013.5647806285,0.0,0.0,False,True,Velocity safety exceeded,0.125,,,,,,,,,,,,,,,,,0.8882552389171825,5.061187982559204
64,1380937.3631618456,1183013.5647806285,0.0,0.0,False,False,,0.12307692307692308,4.570194339884489,1.7118668928236151,0.16455746775175933,1.4917753361989023e-14,0.004756472370138143,0.0045247396274308025,0.0038072410363657466,7.84836745339995e-06,2.2783100605010986,0.7606170177459717,5.416110267688454e-05,0.357139125526187,0.0,0.0,9.226636950383627e-16,1.88411095042053e-15,0.8617905581367818,13.561666250228882
65,1262596.4840669902,1183013.5647806285,0.0,0.0,False,False,,0.12121212121212122,4.614759121843665,0.9183587874610541,0.1843105231772183,2.1025253090849017e-14,0.005317787147572786,0.0051080897478559956,0.0026244056505669994,1.9159692787735293e-07,2.299717426300049,0.3935658931732178,1.3437172537411256e-06,0.3483687161305875,0.0,0.0,1.4382701176453555e-15,2.379773037421543e-15,0.7885110411612549,13.367038011550903
